"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2021,"Armagh City, Banbridge and Craigavon","Part Time",28,10,38
"Number of Jobs (Thousands)",2021,"Belfast","All Jobs",156,159,314
"Number of Jobs (Thousands)",2021,"Belfast","Full Time",103,140,243
"Number of Jobs (Thousands)",2021,"Belfast","Part Time",52,19,71
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","All Jobs",33,26,59
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Full Time",16,22,38
"Number of Jobs (Thousands)",2021,"Causeway Coast and Glens","Part Time",16,NA,21
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","All Jobs",41,35,76
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Full Time",22,28,50
"Number of Jobs (Thousands)",2021,"Derry City and Strabane","Part Time",18,7,26
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","All Jobs",32,26,58
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Full Time",16,21,37
"Number of Jobs (Thousands)",2021,"Fermanagh and Omagh","Part Time",16,NA,21
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","All Jobs",42,41,83
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Full Time",24,36,60
"Number of Jobs (Thousands)",2021,"Lisburn and Castlereagh","Part Time",18,NA,24
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","All Jobs",31,27,58
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Full Time",15,22,37
"Number of Jobs (Thousands)",2021,"Mid and East Antrim","Part Time",16,NA,21
"Number of Jobs (Thousands)",2021,"Mid Ulster","All Jobs",31,47,78
"Number of Jobs (Thousands)",2021,"Mid Ulster","Full Time",18,41,58
"Number of Jobs (Thousands)",2021,"Mid Ulster","Part Time",13,7,19
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","All Jobs",44,38,82
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Full Time",26,29,56
"Number of Jobs (Thousands)",2021,"Newry, Mourne and Down","Part Time",18,8,27
"Number of Jobs (Thousands)",2021,"Northern Ireland","All Jobs",549,528,1078
"Number of Jobs (Thousands)",2021,"Northern Ireland","Full Time",319,447,766
"Number of Jobs (Thousands)",2021,"Northern Ireland","Part Time",230,81,312
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","All Jobs",46,34,79
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Full Time",28,29,57
"Number of Jobs (Thousands)",2022,"Antrim and Newtownabbey","Part Time",18,NA,22
"Number of Jobs (Thousands)",2022,"Ards and North Down","All Jobs",32,25,57
"Number of Jobs (Thousands)",2022,"Ards and North Down","Full Time",14,20,34
"Number of Jobs (Thousands)",2022,"Ards and North Down","Part Time",18,NA,23
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","All Jobs",68,56,123
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Full Time",38,48,85
"Number of Jobs (Thousands)",2022,"Armagh City, Banbridge and Craigavon","Part Time",30,8,38
"Number of Jobs (Thousands)",2022,"Belfast","All Jobs",174,185,358
"Number of Jobs (Thousands)",2022,"Belfast","Full Time",114,162,276
"Number of Jobs (Thousands)",2022,"Belfast","Part Time",60,22,83
